Words,Language
comedy,English
devdas,Name
kapikad,Location
sirna,Mixed
.,sym
Pukuli,Tulu
maya,Kannada
olu,Tulu
naaDunu,Tulu
mare,Tulu
.,sym
Banji,Tulu
benend,Tulu
mare,Tulu
telthed,Tulu
Enna,Tulu
jwara,Kannada
olu,Tulu
ponda,Tulu
mare,Tulu
.,sym
Bareonje,Tulu
sokuda,Tulu
show,English
yenkulegu,Tulu
thelthudu,Tulu
thelthudu,Tulu
saku,Tulu
andu,Tulu
Thank,English
u,English
for,English
all,English
.,sym
aaye,Tulu
oamchuru,Tulu
parthenaamd,Tulu
.,sym
Superb,English
top,English
album,English
song,English
edde,Tulu
entertainment,English
Thankyou,English
Congratulations,English
whole,English
team,English
.,sym
Koragajjana,Name
katnikan,Tulu
thojipayinik,Tulu
masth,Tulu
tnx,English
.,sym
Superb,English
music,English
nice,English
lyrics,English
Enchina,Tulu
song,English
Tulu,Name
d,Tulu
barod,Tulu
.,sym
Swamy,Name
poppa,Tulu
Yekka,Tulu
sakadha,Tulu
dialogue,English
.,sym
Ayena,Tulu
pukuli,Tulu
yakkur,Location
da,Tulu
da,Tulu
unduge,Tulu
.,sym
Sonu,Name
Nigam,Name
barper,Tulu
savugu,Tulu
.,sym
aaravimd,Name
saar,English
ir,Tulu
ora,Tulu
modi,Name
na,Tulu
veshha,Kannada
paDle,Tulu
Makeup,English
s,English
No,English
hygienic,English
practice,English
.,sym
Namma,Kannada
tulu,Tulu
comedyde,Mixed
best,English
.,sym
dayaadid,Tulu
DiliT,English
malpule,Tulu
aamchane,Tulu
nana,Tulu
daivolen,Tulu
yus,English
malthomdu,Tulu
iamchina,Tulu
prayathna,Kannada
boDchi,Tulu
.,sym
Kudonji,Tulu
pucche,Tulu
budode,Tulu
.,sym
Girgit,Tulu
movien,Mixed
full,English
paadle,Tulu
.,sym
Yenkul,Tulu
la,Tulu
enchina,Tulu
dodda,Tulu
ettudunda,Tulu
.,sym
Pukuli,Tulu
pondala,Tulu
eth,Tulu
kushit,Tulu
ulle,Tulu
marre,Tulu
.,sym
Advertisement,English
jasti,Kannada
uppunu,Tulu
.,sym
Super,English
shivaduthe,Tulu
gulige,Name
.,sym
yenchi,Tulu
sav,Tulu
mare,Tulu
kann,Tulu
bene,Tulu
apund,Tulu
mare,Tulu
blinkingn,Mixed
unthale,Tulu
mare,Tulu
.,sym
Karnatakod,Tulu
unbreakable,Tulu
record,English
malthar,Tulu
God,English
bless,English
you,English
and,English
your,English
team,English
.,sym
No,English
comedy,English
team,English
.,sym
iamthaha,Kannada
chip,English
jaahiraathigaagi,Kannada
nim,Kannada
kriyeTiviTi,English
haaLu,Kannada
maaDabeDi,Kannada
.,sym
Full,English
movi,English
upload,English
malpule,Tulu
.,sym
Avu,Tulu
ground,English
ovu,Tulu
ye,Tulu
pitch,English
tikujige,Tulu
.,sym
Deepak,Name
rai,Name
as,English
usual,English
.,sym
Radla,Tulu
maganakul,Tulu
saav,Tulu
.,sym
Negale,Tulu
gu,Tulu
bokkoriya,Tulu
na,Tulu
beeja,Tulu
da,Tulu
mitthu,Tulu
deg,Tulu
kannu,Tulu
.,sym
Padebulu,Tulu
nakalu,Tulu
ponnaga,Tulu
.,sym
Maiyena,Tulu
yenchina,Tulu
pukli,Tulu
.,sym
Yeeraandla,Tulu
naadle,Tulu
marre,Tulu
aayena,Tulu
pukuli,Tulu
.,sym
Tulu,Name
ta,Tulu
comedy,English
.,sym
saakshhaath,Kannada
koragajjana,Kannada
darshana,Kannada
adaage,Kannada
aayethu,Kannada
thumbaa,Kannada
channaagide,Kannada
viDiyo,English
sar,English
.,sym
Lock,English
down,English
timeda,Mixed
comdey,English
.,sym
Bhaashe,Kannada
theriyaathavanu,Kannada
yendh,Other
comidy,English
thooo,Other
vyaak,Other
.,sym
Lovely,English
song,English
kammida,Tulu
pukuli,Tulu
.,sym
Love,English
you,English
dodda,Tulu
.,sym
supar,English
Dailaag,English
kaapikaaDarega,Tulu
dhanyavaadalu,Tulu
.,sym
yan,Tulu
pandendh,Tulu
panodchii,Tulu
.,sym
unde,Tulu
aiyana,Tulu
praivate,English
property,English
.,sym
Kereng,Tulu
gas,English
jiguje,Tulu
gas,English
.,sym
Mulu,Tulu
la,Tulu
hindu,Name
deverugu,Tulu
insult,English
.,sym
spr,English
Bari,Tulu
Edde,Tulu
baydundu,Tulu
Swamy,Kannada
koragajja,Name
.,sym
Yer,Tulu
mata,Tulu
tappad,Tulu
balithar,Tulu
.,sym
Superadh,Mixed
undu,Tulu
nigalna,Tulu
comedy,English
.,sym
Erna,Tulu
bodethi,Tulu
onjji,Tulu
yeth,Tulu
soku,Tulu
ye,Tulu
.,sym
Super,English
apudu,Tulu
thuyare,Tulu
masth,Tulu
comedy,English
.,sym
Super,English
bit,English
super,English
.,sym
Ayag,Tulu
pukulin,Tulu
Google,English
d,Tulu
sarch,English
manpoli,Tulu
.,sym
Great,English
ya,English
ee,Tulu
futured,Mixed
malla,Tulu
avoli,Tulu
.,sym
Full,English
filmn,Mixed
padele,Tulu
.,sym
Best,English
programme,English
kirikiri,Tulu
jodilu,Tulu
.,sym
Super,English
maste,Tulu
adde,Tulu
undu,Tulu
.,sym
Full,English
encha,Tulu
tupuna,Tulu
.,sym
Erandala,Tulu
ayana,Tulu
pukuli,Tulu
nadud,Tulu
korle,Tulu
paapa,Tulu
ayana,Tulu
pukuli,Tulu
maya,Kannada
atund,Tulu
.,sym
punch,English
kammi,Tulu
and,Tulu
.,sym
hello,English
mangaluru,Location
attendance,English
paadle,Tulu
likes,English
paddh,Tulu
.,sym
O,Tulu
raama,Name
raama,Name
.,sym
Part,English
upload,English
malpule,Tulu
plz,English
.,sym
dumbu,Tulu
la,Tulu
padthar,Tulu
atha,Tulu
.,sym
More,English
videos,English
plzzz,English
.,sym
Udupi,Location
Mangalore,Location
jam,English
.,sym
Enan,Tulu
naayee,Kannada
interview,English
maltondulle,Tulu
.,sym
Modigh,Name
vote,English
padle,Tulu
next,English
boka,Tulu
nadtonde,Tulu
podu,Tulu
.,sym
Ammer,Tulu
polis,Name
picture,English
upload,English
malpuley,Tulu
.,sym
khamDitha,Kannada
aansar,Kannada
helbeku,Kannada
.,sym
deepak,Name
rai,Name
dadeye,Tulu
eerna,Tulu
acting,English
superb,English
ye,Tulu
please,English
pura,Tulu
videos,English
upload,English
malpule,Tulu
waiting,English
for,English
more,English
videos,English
.,sym
Gudde,Tulu
angadidalpa,Tulu
onji,Tulu
kappuda,Tulu
pukuli,Tulu
birkdhnd,Tulu
avvena,Tulu
.,sym
Edde,Tulu
comedyla,Mixed
ijji,Tulu
edde,Tulu
storyla,Mixed
ijji,Tulu
.,sym
Bangady,Tulu
super,English
top,English
comedy,English
no,English
.,sym
Nanala,Tulu
eccha,Tulu
lirics,English
ithdodu,Tulu
.,sym
Kadandaleg,Tulu
dialogue,English
ijja,Tulu
.,sym
mast,Tulu
edde,Tulu
undu,Tulu
materla,Tulu
kenle,Tulu
.,sym
Win,English
athina,Tulu
teamgu,Mixed
bokka,Tulu
sesonda,Mixed
matha,Tulu
teamdaklegla,Mixed
.,sym
March,English
th,Tulu
Sunday,English
program,English
ejjande,Tulu
.,sym
Anna,Kannada
comidy,English
edde,Tulu
undu,Tulu
anda,Tulu
madyad,Tulu
pettada,Tulu
vishya,Kannada
paterraballi,Tulu
bokka,Tulu
niklen,Tulu
Kasai,Kannada
kanegu,Kannada
padre,Tulu
undu,Tulu
.,sym
Yank,Tulu
Esta,Tulu
tulu,Name
movies,English
.,sym
love,English
u,English
ajjj,Kannada
.,sym
Sokku,Tulu
athndd,Tulu
akkkaa,Kannada
.,sym
Super,English
aatidonji,Tulu
dhina,Tulu
.,sym
Bethe,Tulu
bele,Tulu
ijjiya,Tulu
edde,Tulu
video,English
manpule,Tulu
.,sym
Nayi,Kannada
bang,Tulu
kor,Tulu
.,sym
all,English
act,English
super,English
Chitragupta,Name
act,English
extra,English
super,English
.,sym
Nataka,Kannada
masth,Tulu
edde,Tulu
athnd,Tulu
very,English
nice,English
.,sym
Full,English
movie,English
ejja,Tulu
.,sym
Yedde,Tulu
praytna,Kannada
shokkatnd,Tulu
.,sym
Ullai,Tulu
langa,Tulu
paduna,Tulu
borchi,Tulu
pande,Tulu
.,sym
Telth,Tulu
Telth,Tulu
saak,Tulu
aand,Tulu
.,sym
Mast,Tulu
shoku,Tulu
undu,Tulu
.,sym
laik,Tulu
athundu,Tulu
super,English
.,sym
Idar,Other
Mangalore,Location
Udupi,Location
Karnataka,Location
me,Other
bahut,Other
famous,English
hogayi,Other
ho,Other
.,sym
Next,English
viDiyo,English
yaavaaga,Kannada
.,sym
Super,English
I,English
like,English
aravinda,Name
bolar,Location
my,English
chaildwood,English
fovert,English
actor,English
.,sym
Supar,English
aatund,Tulu
lady,English
c,English
k,English
na,Tulu
.,sym
dislikes,English
by,English
thuLu,Name
bhaashhe,Kannada
arthha,Kannada
aavamdinakulu,Tulu
.,sym
Yesa,Tulu
movien,Mixed
padle,Tulu
.,sym
Vav,Tulu
super,English
comedye,Mixed
.,sym
nanala,Tulu
improve,English
avod,Tulu
.,sym
What,English
a,English
super,English
Video,English
enchina,Tulu
kure,Tulu
mare,Tulu
.,sym
Pukuli,Tulu
dada,Tulu
avsthe,Kannada
ya,Tulu
any,English
tuluvas,English
.,sym
mainaDugisuva,Kannada
aamtha,Kannada
kathhe,Kannada
svaami,Kannada
koragajja,Name
ellarigu,Kannada
oLLeyadu,Kannada
maaDali,Kannada
.,sym
Private,English
challenge,English
da,Tulu
copy,English
ya,Tulu
.,sym
Eerna,Tulu
love,English
marriage,English
atha,Tulu
.,sym
masth,Tulu
edde,Tulu
itthnd,Tulu
.,sym
Reply,English
boka,Tulu
er,Tulu
ovu,Tulu
languaged,Mixed
cmnt,English
malthini,Tulu
.,sym
Ponugulena,Tulu
style,English
over,English
athundu,Tulu
.,sym
oLLeya,Kannada
kaameDi,English
siriyal,English
.,sym
anchor,English
n,Tulu
plss,English
change,English
malpule,Tulu
.,sym
Av,Tulu
madmalna,Tulu
dodammana,Tulu
magal,Tulu
avodu,Tulu
cuteullal,Mixed
sis,English
.,sym
Kudla,Location
Kusal,Tulu
Bale,Tulu
Telipale,Tulu
Super,English
.,sym
Supper,English
masage,English
enkleg,Tulu
mast,Tulu
kushi,Kannada
aande,Tulu
.,sym
eesarthi,Tulu
ove,Tulu
onji,Tulu
team,English
la,Tulu
yedde,Tulu
ijji,Tulu
.,sym
Nikulu,Tulu
materla,Tulu
ullaratta,Tulu
upload,English
malpule,Tulu
kapikadrena,Tulu
old,English
drama,English
.,sym
Link,English
send,English
mnpi,Tulu
.,sym
Net,Tulu
telipunanchina,Tulu
dala,Tulu
Ejjate,Tulu
anna,Kannada
.,sym
Ammmmmaaaa,Name
Yenchina,Tulu
mare,Tulu
Devi,Name
Mahatme,Kannada
Aatana,Tulu
.,sym
Kalvana,Tulu
acting,English
super,English
.,sym
enchina,Tulu
korndla,Tulu
comedy,English
ne,Tulu
pidai,Tulu
barpundu,Tulu
.,sym
pomDaa,Tulu
beri,Tulu
paththomdu,Tulu
barve,Tulu
supar,English
Dailaag,English
.,sym
Av,Tulu
flim,English
budle,Tulu
plz,English
yan,Tulu
tutuji,Tulu
.,sym
Puragla,Tulu
all,English
the,English
best,English
.,sym
which,English
song,English
is,English
that,English
aa,Tulu
mugulu,Kannada
nage,Kannada
aa,Kannada
ninta,Kannada
bagege,Tulu
.,sym
Chaitra,Name
eer,Tulu
na,Tulu
abimani,Kannada
.,sym
Prajwalere,Tulu
vante,Tulu
koragappana,Tulu
style,English
undandh,Tulu
.,sym
Pls,English
continue,English
malpule,Tulu
nextda,Mixed
part,English
its,English
wonderful,English
plssss,English
.,sym
Dbt,English
aaye,Tulu
na,Tulu
pukuli,Tulu
dombu,Tulu
g,Tulu
raisondh,Tulu
ithnd,Tulu
aandh,Tulu
avve,Tulu
yera,Tulu
bangar,Tulu
pandh,Tulu
lakkadher,Tulu
.,sym
pushhpalatharavara,Name
kannaDa,Kannada
kamDu,Kannada
kannaDapara,Kannada
samghaTakara,Kannada
hrridaya,Kannada
Dham,Kannada
aaguvudaralli,Kannada
yaavude,Kannada
samdehavilla,Kannada
.,sym
Ayyo,Tulu
devaaaa,Tulu
manage,English
teltu,Tulu
teltu,Tulu
saaku,Tulu
aand,Tulu
mangalpadi,Location
boka,Tulu
kunja,Name
actingn,Mixed
.,sym
really,English
masth,Tulu
edde,Tulu
actors,English
mukulu,Tulu
best,English
comedy,English
whole,English
team,English
work,English
superb,English
.,sym
Ayin,Tulu
minsa,Kannada
athh,Tulu
Ayin,Tulu
nimisha,Kannada
.,sym
Aunty,English
log,Other
bohot,Other
kadak,Other
hai,Other
.,sym
Prayadagalenu,Tulu
patherpad,Tulu
thamashe,Kannada
malpare,Tulu
balli,Tulu
nankula,Tulu
praya,Tulu
apundu,Tulu
video,English
poora,Tulu
kaledu,Kannada
maja,Kannada
malpare,Tulu
balli,Tulu
jokuleeee,Tulu
.,sym
Ajjana,Tulu
kaarika,Tulu
daada,Tulu
pand,Tulu
maatheregla,Tulu
theridundu,Tulu
ain,Tulu
ee,Tulu
namune,Tulu
thojipavuna,Tulu
agathya,Kannada
ijji,Tulu
.,sym
Mast,Tulu
mast,Tulu
Mata,Tulu
.,sym
Vrgafhootada,Tulu
ladai,Tulu
bhoota,Tulu
nakulu,Tulu
ismael,Name
bhai,Other
arda,Tulu
mande,Tulu
bechadu,Tulu
katil,Tulu
patter,Tulu
.,sym
Nayi,Kannada
pooche,Tulu
yenchinaa,Tulu
shavvvu,Tulu
mararrre,Tulu
.,sym
nanala,Tulu
er,Tulu
yede,Tulu
avodu,Tulu
good,English
luck,English
suprathend,Mixed
.,sym
Walter,Name
Sir,English
enkalna,Tulu
samsarodu,Tulu
onthe,Tulu
problem,English
ide,Kannada
enkalegla,Tulu
eer,Tulu
nyaya,Kannada
korpara,Tulu
enkul,Tulu
baroda,Tulu
bodcha,Tulu
panle,Tulu
.,sym
Churandala,Tulu
mareyadi,Kannada
ethunda,Tulu
padduver,Tulu
mare,Tulu
enchi,Tulu
s,Tulu
v,Tulu
.,sym
Cholike,Other
piche,Other
kya,Other
hai,English
.,sym
Super,English
ravi,Name
varkady,Location
sir,English
Next,English
movie,English
Madi,Kannada
all,English
the,English
best,English
all,English
team,English
.,sym
mastu,Tulu
yedde,Tulu
ethund,Tulu
.,sym
Ending,English
mathu,Kannada
yedde,Tulu
malder,Tulu
D,English
K,English
sir,English
.,sym
super,English
comedy,English
thelth,Tulu
thelth,Tulu
banji,Tulu
bene,Tulu
and,Tulu
.,sym
masth,Kannada
khushi,Kannada
aaamD,Tulu
bro,English
After,English
long,English
time,English
back,English
ajji,Kannada
nenapu,Kannada
madidakki,Kannada
.,sym
Undu,Tulu
bigg,English
bossd,English
rahshitha,Name
rai,Name
ata,Tulu
.,sym
Baari,Tulu
shokundu,Tulu
movie,English
Full,English
paadle,Tulu
plss,English
.,sym
act,English
super,English
but,English
pls,English
double,English
meaning,English
kammi,Tulu
malpule,Tulu
.,sym
Dinesh,Name
kodavoor,Location
athu,Tulu
Kodapadavu,Location
.,sym
Lokeshere,Name
eer,Tulu
jipunatana,Tulu
Malpunuklen,Tulu
Dayeg,Tulu
badigegu,Tulu
konapar,Tulu
.,sym
Super,English
bojanna,Name
ou,Tulu
acting,English
korndala,Tulu
manpuver,Tulu
.,sym
But,English
Tulu,Name
Comedy,English
ayinait,Tulu
Kannada,Name
Borchi,Tulu
.,sym
Bhojraj,Name
vamamjoor,Location
slang,English
marilu,Tulu
bokka,Tulu
Santhelu,Tulu
third,English
his,English
laugh,English
mugul,Kannada
nage,Kannada
some,English
attraction,English
.,sym
Masthu,Tulu
kisi,Kannada
anduke,Tulu
thelthu,Tulu
theltha,Tulu
sakandu,Tulu
.,sym
Ajji,Kannada
na,Tulu
acting,English
super,English
shokuda,Tulu
message,English
.,sym
Anchor,English
n,Tulu
onji,Tulu
change,English
malple,Tulu
.,sym
Tulu,Name
naduda,Tulu
bollilu,Tulu
.,sym
Kurlari,Tulu
tikkund,Tulu
dubait,Location
.,sym
uththara,Kannada
korle,Tulu
thuLu,Name
naaTaka,Kannada
haakthiraa,Kannada
.,sym
ER,Tulu
BHAYABKARA,Tulu
MARRE,Tulu
.,sym
Superrrrr,English
raviyanna,Name
erna,Tulu
comedy,English
.,sym
Next,English
song,English
maya,Kannada
.,sym
Hagadre,Kannada
Innu,Kannada
cm,English
sersi,Kannada
itko,Kannada
.,sym
Nina,Tulu
saueda,Tulu
comedy,English
.,sym
Police,English
nakleg,Tulu
support,English
malpuna,Tulu
programme,English
malpodchi,Tulu
.,sym
Super,English
sir,English
Gopala,Name
e,Tulu
parbala,Tulu
nataka,Kannada
Thuvondu,Tulu
comment,English
malthondulle,Tulu
Kapikad,Location
sir,English
.,sym
filmda,Mixed
pudar,Tulu
panle,Tulu
.,sym
Plzzzzzz,English
asha,Name
karyakartherna,Tulu
bagge,Tulu
video,English
mlpi,Tulu
plzzzzzz,English
akul,Tulu
coronada,Tulu
timed,Mixed
masth,Tulu
banga,Tulu
bathder,Tulu
plzzzzzz,English
sir,English
.,sym
machchaa,Kannada
idu,Kannada
nan,Kannada
uchche,Kannada
.,sym
Jai,Name
thulu,Name
Nada,Tulu
thulu,Name
Nada,Tulu
.,sym
Superathend,Mixed
yaksha,Kannada
rasa,Kannada
.,sym
Yek,Other
dam,Other
ramro,Name
aru,Other
pani,Other
yestai,Other
song,English
suni,Name
ranapau,Name
.,sym
Yo,English
song,English
.,sym
Super,English
ajji,Kannada
eer,Tulu
so,English
cute,English
.,sym
Tulu,Name
drama,English
da,Tulu
old,English
MP,English
itthnda,Tulu
padle,Tulu
.,sym
Super,English
atnda,Tulu
ye,Tulu
.,sym
Byaringale,Other
mariyadhi,Other
edkogunte,Other
akromant,Other
.,sym
Edu,Kannada
deshakke,Kannada
apamaana,Kannada
maadidanthe,Kannada
idu,Kannada
sari,Kannada
alla,Kannada
.,sym
Masth,Tulu
yedde,Tulu
undu,Tulu
.,sym
dada,English
umbe,Tulu
ajji,Kannada
g,Tulu
dayag,Tulu
satawoon,Tulu
.,sym
Tulu,Name
artavannakul,Tulu
disliken,Mixed
mantera,Tulu
Dane,Tulu
.,sym
Daijiworld,Name
maamtha,Tulu
programe,English
.,sym
Baayma,Name
baari,Tulu
Jorundye,Tulu
.,sym
Superb,English
sir,English
undenu,Tulu
enkla,Tulu
casetd,Mixed
kendth,Tulu
ittha,Tulu
apaga,Tulu
tv,English
ijjand,Tulu
.,sym
Super,English
please,English
full,English
nataka,Kannada
padle,Tulu
.,sym
Prashanthck,Name
very,English
good,English
actter,English
Bari,Tulu
kushiyapondu,Tulu
enjoyed,English
enchene,Tulu
enkalen,Tulu
telipavondu,Tulu
ippule,Tulu
.,sym
Oriyardh,Tulu
Ori,Tulu
Asal,Tulu
Tulu,Name
Comedy,English
Nataka,Kannada
Arvind,Name
Bolar,Location
Devidas,Name
Kapikad,Location
Bhojaraj,Name
Vamanjor,Location
.,sym
Entha,Kannada
comedy,English
mare,Tulu
.,sym
Kane,Tulu
Kate,Tulu
serial,English
please,English
continue,English
.,sym
pls,English
ad,English
rakesh,Name
na,Tulu
original,English
voice,English
.,sym
Kukula,Tulu
borchi,Tulu
gonkula,Tulu
borchi,Tulu
.,sym
A,English
spotede,Tulu
telugu,Name
barode,Tulu
so,English
funny,English
.,sym
meksam,Other
khathikoo,Other
fan,English
koo,Other
koo,Other
hunuhunchh,Other
.,sym
Dr,Name
Aravind,Name
Bolarre,Location
Yenk,Tulu
Banjidha,Tulu
Ulai,Tulu
Mande,Tulu
Thirgundu,Tulu
Aik,Tulu
Dhadha,Tulu
Malpodu,Tulu
.,sym
don,English
t,English
compare,English
with,English
anyone,English
Bari,Tulu
edde,Tulu
athund,Tulu
.,sym
Ammaaa,Name
haina,Name
devi,Name
mahatme,Kannada
aata,Tulu
naaa,Tulu
.,sym
e,Tulu
filmda,Mixed
full,English
video,English
padle,Tulu
anna,Kannada
.,sym
au,Tulu
andh,Tulu
matha,Tulu
tikdla,Tulu
selfi,English
.,sym
Nic,English
song,English
mero,Other
dost,Other
.,sym
Makkala,Tulu
edru,Tulu
kachada,Tulu
maathu,Tulu
.,sym
Dinesh,Name
sir,English
kushi,Kannada
apundu,Tulu
sir,English
irean,Tulu
undu,Tulu
vediked,Tulu
tuyarea,Tulu
.,sym
Ichane,Tulu
anda,Tulu
nana,Tulu
tulu,Name
film,English
gu,Tulu
popunave,Tulu
waste,English
.,sym
kannaDadalli,Kannada
maaDi,Kannada
sar,English
.,sym
Super,English
athnd,Tulu
husband,English
wife,English
.,sym
Suuuuurb,English
battrena,Tulu
tatto,English
porl,Tulu
und,Tulu
.,sym
Sir,English
Bethe,Tulu
Bethe,Tulu
nataka,Kannada
videos,English
pura,Tulu
padle,Tulu
please,English
.,sym
Sprb,English
aathund,Tulu
acchu,Tulu
Anna,Kannada
.,sym
Govji,Tulu
unddu,Tulu
Ya,Tulu
song,English
Pukuli,Tulu
maya,Kannada
.,sym
Kannada,Name
tulut,Tulu
super,English
.,sym
Very,English
funny,English
love,English
you,English
ajji,Kannada
.,sym
ajja,Kannada
mathergla,Tulu
rakshhaNe,Kannada
korle,Tulu
.,sym
Full,English
nataka,Kannada
yepa,Tulu
Devere,Tulu
.,sym
Nice,English
ereg,Tulu
esta,Kannada
atundu,Tulu
e,Tulu
song,English
like,English
korle,Tulu
.,sym
Kapikad,Location
Gattog,Tulu
dayeg,Tulu
baidhini,Tulu
.,sym
Minsha,Tulu
atth,Tulu
marre,Tulu
nimisha,Tulu
.,sym
Ayyyoooo,Tulu
devare,Tulu
Thelth,Tulu
thelth,Tulu
saakand,Tulu
.,sym
Mugi,Tulu
kaas,Tulu
daaya,Tulu
pitcher,Tulu
.,sym
Very,English
nice,English
hai,English
school,English
padheko,Kannada
.,sym
I,English
like,English
this,English
Ajji,Kannada
very,English
much,English
.,sym
Ha,English
ha,English
ha,English
super,English
.,sym
Superb,English
comedy,English
jai,Name
namma,Kannada
tv,English
tulu,Name
nadu,Kannada
.,sym
aaye,Tulu
avulu,Tulu
pukuli,Tulu
ijjamthe,Tulu
bulithomthulle,Tulu
.,sym
Aravind,Name
bollar,Location
Annag,Tulu
jai,Name
.,sym
Yedde,Tulu
undu,Tulu
jana,Kannada
kaali,Tulu
.,sym
dumbu,Tulu
koNole,Tulu
bhaari,Tulu
shokuda,Tulu
prograam,English
.,sym
Yenchi,Tulu
savda,Tulu
comedyya,Mixed
kusalg,Tulu
Ave,Tulu
commentd,English
onji,Tulu
sav,Tulu
uppad,Tulu
pandh,Tulu
.,sym
thuLunaaDina,Kannada
kalaavidara,Kannada
abhinayakke,Kannada
nanna,Kannada
salaam,Kannada
wonderful,English
.,sym
Namma,Kannada
thulunadhguleg,Tulu
ajjana,Kannada
asirwadha,Kannada
yeapala,Tulu
bodu,Tulu
.,sym
yesa,Tulu
movies,English
upload,English
malpi,Tulu
.,sym
super,English
comidi,English
mare,Tulu
.,sym
Team,English
judge,English
na,Tulu
comments,English
seriously,English
detonodu,Tulu
incha,Tulu
non,English
veg,English
jokes,English
yeregala,Tulu
edde,Tulu
apuji,Tulu
.,sym
Poki,Tulu
povi,Tulu
dada,Tulu
povi,Tulu
nadhundu,Tulu
.,sym
haLe,Kannada
noTu,Kannada
iruvaaga,Kannada
namma,Kannada
bhaaratha,Location
hegiththu,Kannada
.,sym
Wow,English
spr,English
film,English
undhu,Tulu
.,sym
super,English
comedy,English
Namma,Kannada
mangaluru,Location
Tulu,Name
.,sym
Edde,Tulu
msg,English
janoklegu,Tulu
comedy,English
etthunathe,Tulu
namma,Kannada
yuva,Kannada
samajogu,Tulu
edde,Tulu
msg,English
kuda,Kannada
undu,Tulu
jai,Name
tulunaad,Location
.,sym
Please,English
sir,English
new,English
movies,English
you,English
tubege,Mixed
haakie,Kannada
.,sym
Same,English
muttappa,Name
Rai,Name
voice,English
.,sym
Eni,Tulu
release,English
athe,Tulu
.,sym
Sox,English
odeg,Tulu
ninna,Tulu
ammena,Tulu
.,sym
i,English
love,English
ajje,Kannada
cute,English
ajje,Kannada
.,sym
Song,English
sokund,Tulu
buka,Tulu
dance,English
sokathund,Tulu
.,sym
Nice,English
bagundhi,Tulu
tulu,Name
comedy,English
kusi,Kannada
athindu,Tulu
.,sym
Yerdla,Tulu
extra,English
pukuli,Tulu
ethnda,Tulu
embeg,Tulu
onji,Tulu
korle,Tulu
.,sym
Being,English
a,English
Nepali,Name
myself,English
got,English
to,English
know,English
about,English
his,English
lost,English
Pukuli,Tulu
from,English
my,English
Mlore,Location
friend,Location
.,sym
bhaagavathike,Kannada
thumbaa,Kannada
channaagide,Kannada
.,sym
lv,English
u,English
arjun,Name
erna,Tulu
big,English
fan,English
yn,Tulu
my,English
fvrt,English
song,English
sprrrrrr,English
.,sym
Trafficda,Mixed
police,English
naklna,Tulu
dutiedha,Mixed
bagge,Tulu
edde,Tulu
panthar,Tulu
Lastda,Mixed
msg,English
super,English
Walter,Name
thank,English
you,English
.,sym
Pirav,Tulu
jana,Kannada
uppunett,Tulu
onji,Tulu
jana,Kannada
Aravind,Name
bolar,Location
laka,Tulu
uller,Tulu
.,sym
Posa,Tulu
concept,English
bjp,Name
g,Tulu
bucketn,Mixed
patthuna,Tulu
.,sym
supper,English
undu,English
mathara,Tulu
.,sym
supar,English
sTaar,English
hige,Kannada
mumduvarisi,Kannada
.,sym
Worst,English
comedy,English
boreing,English
telikeda,Tulu
tenali,Name
enna,Tulu
favourite,English
team,English
yeard,Tulu
tuvondu,Tulu
ulle,Tulu
First,English
time,English
ethonji,Tulu
boreing,English
aini,Tulu
sorry,English
.,sym
Super,English
song,English
jodi,Kannada
bokkala,Tulu
shokundu,Tulu
.,sym
From,English
which,English
place,English
is,English
this,English
ajji,Kannada
upload,English
some,English
more,English
videos,English
of,English
her,English
.,sym
Vijay,Name
na,Tulu
kadpathi,Tulu
.,sym
supar,English
arvimD,Name
bolaar,Location
.,sym
Yebeeeeeee,Tulu
Ponnu,Tulu
tulu,Name
patheruna,Tulu
porleeee,Tulu
.,sym
Super,English
undu,Tulu
comidy,English
.,sym
Moovien,Mixed
tojapavunu,Tulu
atta,Tulu
kali,Kannada
scene,English
tojapavuna,Tulu
.,sym
Awu,Tulu
barabara,Tulu
cut,English
malpule,Tulu
Hahahaha,English
.,sym
Masth,Tulu
edde,Tulu
serial,English
tnx,English
masth,Tulu
.,sym
Thupina,Tulu
Drusti,Kannada
Sari,Tulu
Bodu,Tulu
.,sym
Kathe,Kannada
Nana,Tulu
Bareodu,Tulu
Tulu,Name
Comedy,English
Nataka,Kannada
Devdas,Name
Kapikad,Location
Bhojaraj,Name
Vamanjor,Location
.,sym
nim,Kannada
manege,Kannada
bamda,Kannada
bekkannu,Kannada
nammanege,Kannada
kaLuhisikoDi,Kannada
.,sym
spr,English
undu,Tulu
Bolaranne,Name
itthina,Tulu
movie,English
yepagla,Tulu
super,English
hit,English
.,sym
My,English
fave,English
ajji,Kannada
.,sym
good,English
act,English
all,English
the,English
best,English
shivannana,Name
coments,English
bakala,Tulu
supper,English
athunda,Tulu
.,sym
baari,Kannada
joru,Kannada
naDapumDu,Tulu
bele,Tulu
.,sym
Plz,English
full,English
movie,English
padle,Tulu
.,sym
Thelth,Tulu
thelt,Tulu
banji,Tulu
bene,Tulu
apundu,Tulu
.,sym
Cha,Tulu
ande,Tulu
mara,Tulu
.,sym
Kudu,Tulu
baypave,Tulu
pand,Tulu
er,Tulu
panniya,Tulu
nikk,Tulu
.,sym
Ajjan,Tulu
nambinaklen,Tulu
kai,Kannada
budpjernd,Tulu
edde,Tulu
reethid,Tulu
